,af_station_id,ncdc_station_id,station_name,country_id,airport_id,latitude,longitude,elevation,begin,end
16520,717210,99999,MANIWAKI AIRPORT,CA,CWMJ,46.266999999999996,-76.0,200.0,1993-08-01,2019-04-22
16531,717300,99999,SUDBURY,CA,CYSB,46.625,-80.79899999999999,347.8,1955-07-02,2019-04-22
16532,717310,99999,NORTH BAY,CA,CYYB,46.364,-79.423,370.3,1950-01-01,2019-04-22
16536,717330,99999,SUDBURY CLIMATE,CA,,46.633,-80.8,348.0,1955-07-02,2019-04-22
16560,717460,99999,SARNIA CLIMATE,CA,CTZR,43.0,-82.3,181.0,2006-02-01,2019-04-22
16572,717520,99999,WELLAND PELHAM,CA,CTWL,42.97,-79.33,178.0,2006-02-01,2019-04-22
16586,717670,99999,TOBERMORY RCS,CA,CTTR,45.233000000000004,-81.633,214.0,2007-02-28,2019-04-22
16668,718200,99999,KINGSTON CLIMATE,CA,CTKG,44.217,-76.6,93.0,1996-10-01,2019-04-22
16693,718330,99999,GUELPH TURFGRASS,CA,CTGT,43.55,-80.217,325.0,2007-02-28,2019-04-22
17021,719560,99999,GORE BAY CLIMATE,CA,CTZE,45.883,-82.56700000000001,188.0,1977-07-01,2019-04-22
